episode_hash,operator,decision,score,reason,flags,trim_start,trim_end,n_frames,act_span,progress_dip,cluster,outlier_p,ax_poor_image,ax_jittery,ax_unsteady_camera,ax_hesitant,ax_incomplete
692ea23dc621d7f4aac3aaa0,690366b20e94ce070afd1e8a,drop,0.8937,too_short,,,,50,0.9796,,,,-1.4923,-1.3956,0.6863,-0.2938,-2.3166
692ead1cffdc0ca6345c4362,6846f7cf9cdf020d4a37a294,drop,0.6964,frame_count_mismatch,,,,160,0.9937,,,,-1.2932,-1.0683,-0.3114,-0.1426,-0.8787
692eddda4cbe80983737fe09,690366b20e94ce070afd1e8a,drop,0.6008,too_short,,,,55,0.9815,,,,-0.1901,-1.4917,0.9340,-0.2938,-2.3228
692ea8a096d2056439f01881,6903b590466be157ec64580a,drop,0.4571,frame_count_mismatch,,,,73,0.9861,,,,-0.6054,-0.7909,-0.5905,-0.2128,-0.3024
692eff74952b26f4cc71a700,68bdae5d259c8771eea61c1b,drop,0.4518,frame_count_mismatch,,,,174,0.9711,,,,-0.7012,-0.7561,-0.6739,-0.0469,-0.2559
692e98937641010d04354577,690cb8f69adc5c8f26f64201,drop,0.3884,too_short,,,,7,0.8333,,,,0.5128,-1.8072,-0.3628,0.0000,-0.4141
692e9828ea43f09edf26f445,6871e269bc1991b1a1e463ba,drop,0.2919,frame_count_mismatch,,,,196,0.9949,,,,-0.1088,-0.9198,-0.7256,0.5524,-0.3274
692eeefcef7557106e6c4c59,68bc72d1fcdaacc405e3db53,drop,0.2265,mostly_dead_time,,,,107,0.1887,,,,-0.3634,-1.2568,0.1510,0.8193,-0.1255
692ea97eea43f09edf26f60f,6903686e0e94ce070afd1f24,drop,0.1764,frame_count_mismatch,,,,104,0.9903,0.3900,,,0.4411,0.4823,-0.1291,0.0000,-0.6346
692eedac4cbe80983737ff81,670be6761e62a52f6a35360d,drop,0.1685,frame_count_mismatch,,,,357,0.9494,,,,-0.0178,-0.1093,-0.7402,-0.1806,-0.0678
692e9b3b68bf0a1f46230456,6871e269bc1991b1a1e463ba,drop,0.1500,frame_count_mismatch,,,,171,0.9941,,,,-0.0021,-0.2353,-0.4431,0.0000,-0.2511
692ea8142fa9ba56c08f81a1,69070e0b9adc5c8f26f55b5a,drop,0.0881,frame_count_mismatch,,,,93,0.9674,,,,0.1288,-0.4068,0.5768,0.0000,-0.7762
692eaee739719ab57395b996,6903bd580e94ce070afd33cd,drop,0.0332,frame_count_mismatch,,,,196,0.7949,,,,-0.4795,-0.4633,0.0754,0.4950,0.6115
692ea5b5dbc4294a49cc7266,690362600e94ce070afd1d30,drop,0.0329,frame_count_mismatch,,,,198,0.9949,,,,-0.4553,-0.0631,0.4112,0.6088,-0.4726
692eaae1c609aae267b279ba,69070e0b9adc5c8f26f55b5a,drop,0.0321,frame_count_mismatch,hesitant,,,142,0.9858,,,,0.7554,-0.5644,0.4855,1.0091,-2.0054
692e96d7f169106feb26acb5,6871e269bc1991b1a1e463ba,drop,0.0180,frame_count_mismatch,hesitant,,,212,0.9953,,,,0.0060,-0.5363,0.0803,1.0210,-0.4322
692ea92b99488ff84776f98c,69070e0b9adc5c8f26f55b5a,drop,-0.0038,frame_count_mismatch,,,,188,0.9947,,,,0.1836,-0.1153,-0.2745,0.0000,0.1989
692eab64d3d807884d4dd7d9,69070e0b9adc5c8f26f55b5a,drop,-0.0059,frame_count_mismatch,,,,159,0.9937,,,,0.5778,-0.3566,-0.2023,0.9005,-0.9886
